answer	score	topic	URI
The Crown	-0.619	crime film	http://www.wikidata.org/entity/Q20707362
Brother 2	-0.725	crime film	http://www.wikidata.org/entity/Q1528731
Colin Farrell	-0.946	crime film	http://www.wikidata.org/entity/Q172035
Johann Wolfgang von Goethe	0.610	painter	http://www.wikidata.org/entity/Q5879
Viktor Tsoi	0.548	painter	http://www.wikidata.org/entity/Q487125
Andrey Myagkov	0.500	painter	http://www.wikidata.org/entity/Q502651
Katherine García	0.311	painter	http://www.wikidata.org/entity/Q3297825
Alexandra Feodorovna (Alix of Hesse)	0.306	painter	http://www.wikidata.org/entity/Q152094
Maria Feodorovna (Dagmar of Denmark)	0.289	painter	http://www.wikidata.org/entity/Q153601
Sarah Chatto	0.282	painter	http://www.wikidata.org/entity/Q1040807
John Lennon	0.025	painter	http://www.wikidata.org/entity/Q1203
Albert, Prince Consort	-0.022	painter	http://www.wikidata.org/entity/Q152245
Wilhelm II	-0.095	painter	http://www.wikidata.org/entity/Q2677
Victoria, Princess Royal	-0.133	painter	http://www.wikidata.org/entity/Q116728
George W. Bush	-0.205	painter	http://www.wikidata.org/entity/Q207
Viggo Mortensen	-0.225	painter	http://www.wikidata.org/entity/Q171363
Grimes	-0.250	painter	http://www.wikidata.org/entity/Q117970
Kurt Cobain	-0.256	painter	http://www.wikidata.org/entity/Q8446
Paul McCartney	-0.400	painter	http://www.wikidata.org/entity/Q2599
Jared Leto	-0.452	painter	http://www.wikidata.org/entity/Q484523
Freddie Mercury	-0.512	painter	http://www.wikidata.org/entity/Q15869
Avengers: Endgame	0.587	adventure film	http://www.wikidata.org/entity/Q23781155
Avatar: The Way of Water	0.571	adventure film	http://www.wikidata.org/entity/Q3604746
Spider-Man: No Way Home	0.404	adventure film	http://www.wikidata.org/entity/Q68934496
Harry Potter and the Philosopher's Stone	0.243	adventure film	http://www.wikidata.org/entity/Q102438
Guardians of the Galaxy Vol. 3	0.195	adventure film	http://www.wikidata.org/entity/Q29226331
Thor: Love and Thunder	0.159	adventure film	http://www.wikidata.org/entity/Q65768604
Jurassic World Dominion	0.125	adventure film	http://www.wikidata.org/entity/Q55178974
Fantastic Beasts: The Secrets of Dumbledore	0.083	adventure film	http://www.wikidata.org/entity/Q18199332
Doctor Strange in the Multiverse of Madness	0.025	adventure film	http://www.wikidata.org/entity/Q64211112
The Marvels	0.000	adventure film	http://www.wikidata.org/entity/Q89474225
The King's Man	-0.024	adventure film	http://www.wikidata.org/entity/Q61633664
Black Adam	-0.180	adventure film	http://www.wikidata.org/entity/Q28657013
Fantastic Beasts: The Crimes of Grindelwald	-0.186	adventure film	http://www.wikidata.org/entity/Q18199331
Eternals	-0.459	adventure film	http://www.wikidata.org/entity/Q23894629
Johnny Depp	-0.892	adventure film	http://www.wikidata.org/entity/Q37175
Frozen II	0.853	animated film	http://www.wikidata.org/entity/Q24733929
Minions: The Rise of Gru	0.650	animated film	http://www.wikidata.org/entity/Q60997779
Spider-Man: Into the Spider-Verse	0.561	animated film	http://www.wikidata.org/entity/Q29588607
Puss in Boots: The Last Wish	0.511	animated film	http://www.wikidata.org/entity/Q31271384
The Grinch	0.357	animated film	http://www.wikidata.org/entity/Q15632949
